Date,Comment,Like,Dislike,Clean_comment,Comment_Lower,Summary_Tokenized,Comment_no_stopwords,Comments_stem,Sentiment score,Sentiment category
"Aug 26, 2018",That moment when you kiss your sister in front of your brothers,248,3,That moment when you kiss your sister in front of your brothers,that moment when you kiss your sister in front of your brothers,"['that', 'moment', 'when', 'you', 'kiss', 'your', 'sister', 'in', 'front', 'of', 'your', 'brothers']",moment kiss sister front brothers,moment kiss sister front broth,0.4215,pos
"Mar 28, 2018","Love the art style, but am I the only one who thought the characters look kinda like they’re from Inside Out...? Hehe😉",169,11,Love the art style but am I the only one who thought the characters look kinda like they’re from Inside Out Hehe,love the art style but am i the only one who thought the characters look kinda like they’re from inside out hehe,"['love', 'the', 'art', 'style', 'but', 'am', 'i', 'the', 'only', 'one', 'who', 'thought', 'the', 'characters', 'look', 'kinda', 'like', 'they', '’', 're', 'from', 'inside', 'out', 'hehe']",love art style one thought characters look kinda like ’ inside hehe,love art style one thought characters look kinda like ’ inside heh,0.701,pos
"Mar 04, 2018",Aghh! It has been feautured! I saw the date so i set it on my calender so i would not forget 😋congrats! I hope your new found journey is succesful,158,4,Aghh It has been feautured I saw the date so i set it on my calender so i would not forget congrats I hope your new found journey is succesful,aghh it has been feautured i saw the date so i set it on my calender so i would not forget congrats i hope your new found journey is succesful,"['aghh', 'it', 'has', 'been', 'feautured', 'i', 'saw', 'the', 'date', 'so', 'i', 'set', 'it', 'on', 'my', 'calender', 'so', 'i', 'would', 'not', 'forget', 'congrats', 'i', 'hope', 'your', 'new', 'found', 'journey', 'is', 'succesful']",aghh feautured saw date set calender would forget congrats hope new found journey succesful,aghh feautured saw date set calender would forget congrats hope new found journey succes,0.6597,pos
"Mar 31, 2020",Anyone rereading all the episodes because their bored in quarantine? No just me? Okay then...,149,7,Anyone rereading all the episodes because their bored in quarantine No just me Okay then,anyone rereading all the episodes because their bored in quarantine no just me okay then,"['anyone', 'rereading', 'all', 'the', 'episodes', 'because', 'their', 'bored', 'in', 'quarantine', 'no', 'just', 'me', 'okay', 'then']",anyone rereading episodes bored quarantine okay,anyone rereading episodes bored quarantine okay,-0.0516,neg
"Mar 04, 2018",*Vomits Rainbow* It’s Here!,116,8,Vomits Rainbow It’s Here,vomits rainbow it’s here,"['vomits', 'rainbow', 'it', '’', 's', 'here']",vomits rainbow ’,vomits rainbow ’,0.0,neu
"May 26, 2018",when your reading Percy Jackson and then you come across this.,111,4,when your reading Percy Jackson and then you come across this,when your reading percy jackson and then you come across this,"['when', 'your', 'reading', 'percy', 'jackson', 'and', 'then', 'you', 'come', 'across', 'this']",reading percy jackson come across,reading percy jackson come across,0.0,neu
"Mar 04, 2018",OLYMPUS DISCOVER SQUAD WHERE YOU AT?!,112,14,OLYMPUS DISCOVER SQUAD WHERE YOU AT,olympus discover squad where you at,"['olympus', 'discover', 'squad', 'where', 'you', 'at']",olympus discover squad,olympus discover squad,0.0,neu
"Sep 29, 2018",I came here from Emirichuu!,100,7,I came here from Emirichuu,i came here from emirichuu,"['i', 'came', 'here', 'from', 'emirichuu']",came emirichuu,came emirichuu,0.0,neu
"Mar 04, 2018",Is it just me or did her art get BETTER?! Colors so vibrant and bold. I think she added more detail too.,92,4,Is it just me or did her art get BETTER Colors so vibrant and bold I think she added more detail too,is it just me or did her art get better colors so vibrant and bold i think she added more detail too,"['is', 'it', 'just', 'me', 'or', 'did', 'her', 'art', 'get', 'better', 'colors', 'so', 'vibrant', 'and', 'bold', 'i', 'think', 'she', 'added', 'more', 'detail', 'too']",art get better colors vibrant bold think added detail,art get better colors vibrant bold think added detail,0.836,pos
"May 08, 2020","Yo, who else is rereading for the 50th time???",78,4,Yo who else is rereading for the 50th time,yo who else is rereading for the 50th time,"['yo', 'who', 'else', 'is', 'rereading', 'for', 'the', '50th', 'time']",yo else rereading 50th time,yo else rereading 50th tim,0.0,neu
"Jul 01, 2019",anybody else re-reading while waiting for the next update,70,2,anybody else re reading while waiting for the next update,anybody else re reading while waiting for the next update,"['anybody', 'else', 're', 'reading', 'while', 'waiting', 'for', 'the', 'next', 'update']",anybody else reading waiting next update,anybody else reading waiting next upd,0.0,neu
"Mar 04, 2018","I CAN FINALLY DO THE THING ""I'm from discover!""",72,4,I CAN FINALLY DO THE THING I m from discover,i can finally do the thing i m from discover,"['i', 'can', 'finally', 'do', 'the', 'thing', 'i', 'm', 'from', 'discover']",finally thing discover,finally thing discov,0.0,neu
"Mar 04, 2018",Who came here from discover?,71,5,Who came here from discover,who came here from discover,"['who', 'came', 'here', 'from', 'discover']",came discover,came discov,0.0,neu
"Mar 04, 2018",YES MY GOD YES. MY DISCOVER BABY IS FINALLY HERE!!,54889,842,YES MY GOD YES MY DISCOVER BABY IS FINALLY HERE,yes my god yes my discover baby is finally here,"['yes', 'my', 'god', 'yes', 'my', 'discover', 'baby', 'is', 'finally', 'here']",yes god yes discover baby finally,yes god yes discover baby fin,0.7579,pos
"Mar 04, 2018",DISCOVER SQUAD ASSEMBLE,37398,1017,DISCOVER SQUAD ASSEMBLE,discover squad assemble,"['discover', 'squad', 'assemble']",discover squad assemble,discover squad assembl,0.0,neu
"Mar 04, 2018",YES YES YES YES! I'VE BEEN WAITING! WELCOME BACK!,35808,628,YES YES YES YES I VE BEEN WAITING WELCOME BACK,yes yes yes yes i ve been waiting welcome back,"['yes', 'yes', 'yes', 'yes', 'i', 've', 'been', 'waiting', 'welcome', 'back']",yes yes yes yes waiting welcome back,yes yes yes yes waiting welcome back,0.9153,pos
"Mar 04, 2018","“CAN YOU PLEASE NOT TALK ABOUT MY BALLS. OR MY ASS, FOR THAT MATTER.”—Hades. Quote of the chapter 🎉",2002,10,“CAN YOU PLEASE NOT TALK ABOUT MY BALLS OR MY ASS FOR THAT MATTER ”—Hades Quote of the chapter ,“can you please not talk about my balls or my ass for that matter ”—hades quote of the chapter ,"['“', 'can', 'you', 'please', 'not', 'talk', 'about', 'my', 'balls', 'or', 'my', 'ass', 'for', 'that', 'matter', '”', '—hades', 'quote', 'of', 'the', 'chapter']",“ please talk balls ass matter ” —hades quote chapter,“ please talk balls ass matter ” —hades quote chapt,-0.2732,neg
"Mar 04, 2018","to people that hates this myth because of kidnaping and sorts, let me say... By FAR Persephone has the most loving Husbando in all Olympus: he gave her the same level of authority as his in the underworld affairs, he NEVER cheated on her, protected her from idiots... Hades showers her with love and respect her wishes",1682,18,to people that hates this myth because of kidnaping and sorts let me say By FAR Persephone has the most loving Husbando in all Olympus he gave her the same level of authority as his in the underworld affairs he NEVER cheated on her protected her from idiots Hades showers her with love and respect her wishes,to people that hates this myth because of kidnaping and sorts let me say by far persephone has the most loving husbando in all olympus he gave her the same level of authority as his in the underworld affairs he never cheated on her protected her from idiots hades showers her with love and respect her wishes,"['to', 'people', 'that', 'hates', 'this', 'myth', 'because', 'of', 'kidnaping', 'and', 'sorts', 'let', 'me', 'say', 'by', 'far', 'persephone', 'has', 'the', 'most', 'loving', 'husbando', 'in', 'all', 'olympus', 'he', 'gave', 'her', 'the', 'same', 'level', 'of', 'authority', 'as', 'his', 'in', 'the', 'underworld', 'affairs', 'he', 'never', 'cheated', 'on', 'her', 'protected', 'her', 'from', 'idiots', 'hades', 'showers', 'her', 'with', 'love', 'and', 'respect', 'her', 'wishes']",people hates myth kidnaping sorts let say far persephone loving husbando olympus gave level authority underworld affairs never cheated protected idiots hades showers love respect wishes,people hates myth kidnaping sorts let say far persephone loving husbando olympus gave level authority underworld affairs never cheated protected idiots hades showers love respect wish,0.9117,pos
"Mar 04, 2018","""who is she?"" YOUR NIECE!",1091,21,who is she YOUR NIECE,who is she your niece,"['who', 'is', 'she', 'your', 'niece']",niece,niec,0.0,neu
"Mar 04, 2018",Only Greek mythology nerds will truly understand Poseidon's anger towards Odysseus 😂😂,891,6,Only Greek mythology nerds will truly understand Poseidon s anger towards Odysseus ,only greek mythology nerds will truly understand poseidon s anger towards odysseus ,"['only', 'greek', 'mythology', 'nerds', 'will', 'truly', 'understand', 'poseidon', 's', 'anger', 'towards', 'odysseus']",greek mythology nerds truly understand poseidon anger towards odysseus,greek mythology nerds truly understand poseidon anger towards odysseu,-0.2023,neg
"Mar 05, 2018","Persephone sweetie, that dress is just a tad...too...short...like how are you walking? 😂",755,5,Persephone sweetie that dress is just a tad too short like how are you walking ,persephone sweetie that dress is just a tad too short like how are you walking ,"['persephone', 'sweetie', 'that', 'dress', 'is', 'just', 'a', 'tad', 'too', 'short', 'like', 'how', 'are', 'you', 'walking']",persephone sweetie dress tad short like walking,persephone sweetie dress tad short like walk,0.6908,pos
"Mar 05, 2018",Aren't his balls ALWAYS blue tho?,611,5,Aren t his balls ALWAYS blue tho,aren t his balls always blue tho,"['aren', 't', 'his', 'balls', 'always', 'blue', 'tho']",balls always blue tho,balls always blue tho,0.0,neu
"Mar 04, 2018",I like her first dress choice. the gold is nice too,471,3,I like her first dress choice the gold is nice too,i like her first dress choice the gold is nice too,"['i', 'like', 'her', 'first', 'dress', 'choice', 'the', 'gold', 'is', 'nice', 'too']",like first dress choice gold nice,like first dress choice gold nic,0.3612,pos
"Mar 30, 2018",I like how Zeus and Hades are both wearing suits and Poseidon is wearing a t-shirt with a man bun drinking some beer and generally looking like he doesn't give a shit,434,4,I like how Zeus and Hades are both wearing suits and Poseidon is wearing a t shirt with a man bun drinking some beer and generally looking like he doesn t give a shit,i like how zeus and hades are both wearing suits and poseidon is wearing a t shirt with a man bun drinking some beer and generally looking like he doesn t give a shit,"['i', 'like', 'how', 'zeus', 'and', 'hades', 'are', 'both', 'wearing', 'suits', 'and', 'poseidon', 'is', 'wearing', 'a', 't', 'shirt', 'with', 'a', 'man', 'bun', 'drinking', 'some', 'beer', 'and', 'generally', 'looking', 'like', 'he', 'doesn', 't', 'give', 'a', 'shit']",like zeus hades wearing suits poseidon wearing shirt man bun drinking beer generally looking like give shit,like zeus hades wearing suits poseidon wearing shirt man bun drinking beer generally looking like give shit,0.1027,pos
"Mar 04, 2018",hades: whos she?? 😍 Zeus:my daughter 😑,373,4,hades whos she  Zeus my daughter ,hades whos she  zeus my daughter ,"['hades', 'whos', 'she', 'zeus', 'my', 'daughter']",hades whos zeus daughter,hades whos zeus daught,0.0,neu
"Mar 06, 2018","Omg the Odyssey reference. I guess Poseidon is still pretty salty about the whole ""I-killed-your-son-sorry-but-not-sorry"" thing. lol 😂 I'll leave now.",305,1,Omg the Odyssey reference I guess Poseidon is still pretty salty about the whole I killed your son sorry but not sorry thing lol  I ll leave now,omg the odyssey reference i guess poseidon is still pretty salty about the whole i killed your son sorry but not sorry thing lol  i ll leave now,"['omg', 'the', 'odyssey', 'reference', 'i', 'guess', 'poseidon', 'is', 'still', 'pretty', 'salty', 'about', 'the', 'whole', 'i', 'killed', 'your', 'son', 'sorry', 'but', 'not', 'sorry', 'thing', 'lol', 'i', 'll', 'leave', 'now']",omg odyssey reference guess poseidon still pretty salty whole killed son sorry sorry thing lol leave,omg odyssey reference guess poseidon still pretty salty whole killed son sorry sorry thing lol leav,-0.0258,neu
"Mar 04, 2018","I just wish that all of the gods and goddesses would RESPECT hades because without hades all mortals would live forever (no death) & New lives such as babies or children wouldnt be born.   ""with death it makes way for new life"".",205,3,I just wish that all of the gods and goddesses would RESPECT hades because without hades all mortals would live forever no death New lives such as babies or children wouldnt be born with death it makes way for new life,i just wish that all of the gods and goddesses would respect hades because without hades all mortals would live forever no death new lives such as babies or children wouldnt be born with death it makes way for new life,"['i', 'just', 'wish', 'that', 'all', 'of', 'the', 'gods', 'and', 'goddesses', 'would', 'respect', 'hades', 'because', 'without', 'hades', 'all', 'mortals', 'would', 'live', 'forever', 'no', 'death', 'new', 'lives', 'such', 'as', 'babies', 'or', 'children', 'wouldnt', 'be', 'born', 'with', 'death', 'it', 'makes', 'way', 'for', 'new', 'life']",wish gods goddesses would respect hades without hades mortals would live forever death new lives babies children wouldnt born death makes way new life,wish gods goddesses would respect hades without hades mortals would live forever death new lives babies children wouldnt born death makes way new lif,0.6182,pos
"Mar 04, 2018",Wow Zeus is unsurprisingly a dick lol,179,0,Wow Zeus is unsurprisingly a dick lol,wow zeus is unsurprisingly a dick lol,"['wow', 'zeus', 'is', 'unsurprisingly', 'a', 'dick', 'lol']",wow zeus unsurprisingly dick lol,wow zeus unsurprisingly dick lol,0.5106,pos
"Mar 04, 2018","""Who is she? She's beautiful""  Me when I got my new dog",171,0,Who is she She s beautiful Me when I got my new dog,who is she she s beautiful me when i got my new dog,"['who', 'is', 'she', 'she', 's', 'beautiful', 'me', 'when', 'i', 'got', 'my', 'new', 'dog']",beautiful got new dog,beautiful got new dog,0.5994,pos
"Jul 23, 2018",Am I the only one who likes the dress she had on first better?,165,0,Am I the only one who likes the dress she had on first better,am i the only one who likes the dress she had on first better,"['am', 'i', 'the', 'only', 'one', 'who', 'likes', 'the', 'dress', 'she', 'had', 'on', 'first', 'better']",one likes dress first better,one likes dress first bett,0.4215,pos
"Mar 19, 2018",I am legitimately so happy that there's a Greek Mythology webtoon. My life is complete. I can die in peace.,120,0,I am legitimately so happy that there s a Greek Mythology webtoon My life is complete I can die in peace,i am legitimately so happy that there s a greek mythology webtoon my life is complete i can die in peace,"['i', 'am', 'legitimately', 'so', 'happy', 'that', 'there', 's', 'a', 'greek', 'mythology', 'webtoon', 'my', 'life', 'is', 'complete', 'i', 'can', 'die', 'in', 'peace']",legitimately happy greek mythology webtoon life complete die peace,legitimately happy greek mythology webtoon life complete die peac,-0.0516,neg
"Mar 04, 2018","Hades: Who is she? Me: (subconsciously) I don't know, but she did a very good job turning me gay.",122,3,Hades Who is she Me subconsciously I don t know but she did a very good job turning me gay,hades who is she me subconsciously i don t know but she did a very good job turning me gay,"['hades', 'who', 'is', 'she', 'me', 'subconsciously', 'i', 'don', 't', 'know', 'but', 'she', 'did', 'a', 'very', 'good', 'job', 'turning', 'me', 'gay']",hades subconsciously know good job turning gay,hades subconsciously know good job turning gay,0.4404,pos
"Mar 07, 2018","KEEP IT MOVING, ODYSSEUS! I KNOW WHAT YOU DID!",106,0,KEEP IT MOVING ODYSSEUS I KNOW WHAT YOU DID,keep it moving odysseus i know what you did,"['keep', 'it', 'moving', 'odysseus', 'i', 'know', 'what', 'you', 'did']",keep moving odysseus know,keep moving odysseus know,0.0,neu
"Mar 04, 2018",poor Odysseus this time he has no boat to sail away with,90,0,poor Odysseus this time he has no boat to sail away with,poor odysseus this time he has no boat to sail away with,"['poor', 'odysseus', 'this', 'time', 'he', 'has', 'no', 'boat', 'to', 'sail', 'away', 'with']",poor odysseus time boat sail away,poor odysseus time boat sail away,-0.4767,neg
"Sep 08, 2018",Zeus and Hades in their finest and Poseidon in... a t-shirt... wait... T-shirt. Man Bun. Beer. OMG he’s BROseidon!,88,0,Zeus and Hades in their finest and Poseidon in a t shirt wait T shirt Man Bun Beer OMG he’s BROseidon,zeus and hades in their finest and poseidon in a t shirt wait t shirt man bun beer omg he’s broseidon,"['zeus', 'and', 'hades', 'in', 'their', 'finest', 'and', 'poseidon', 'in', 'a', 't', 'shirt', 'wait', 't', 'shirt', 'man', 'bun', 'beer', 'omg', 'he', '’', 's', 'broseidon']",zeus hades finest poseidon shirt wait shirt man bun beer omg ’ broseidon,zeus hades finest poseidon shirt wait shirt man bun beer omg ’ broseidon,0.0,neu
"Mar 18, 2018",That dress is TINY-,88,0,That dress is TINY,that dress is tiny,"['that', 'dress', 'is', 'tiny']",dress tiny,dress tini,0.0,neu
"Mar 04, 2018",When you know know someone talking sh*t about you although you are on the other side of the room.,107498,256,When you know know someone talking sh t about you although you are on the other side of the room,when you know know someone talking sh t about you although you are on the other side of the room,"['when', 'you', 'know', 'know', 'someone', 'talking', 'sh', 't', 'about', 'you', 'although', 'you', 'are', 'on', 'the', 'other', 'side', 'of', 'the', 'room']",know know someone talking sh although side room,know know someone talking sh although side room,0.0,neu
"Mar 04, 2018",I like how Aphrodite and her son casually talk about polos and orgies lmao I love this comic,38747,89,I like how Aphrodite and her son casually talk about polos and orgies lmao I love this comic,i like how aphrodite and her son casually talk about polos and orgies lmao i love this comic,"['i', 'like', 'how', 'aphrodite', 'and', 'her', 'son', 'casually', 'talk', 'about', 'polos', 'and', 'orgies', 'lmao', 'i', 'love', 'this', 'comic']",like aphrodite son casually talk polos orgies lmao love comic,like aphrodite son casually talk polos orgies lmao love com,0.9062,pos
"Mar 04, 2018",OH MY GOD. IT'S HERE. ITS FEATURED. AMAZING,38746,545,OH MY GOD IT S HERE ITS FEATURED AMAZING,oh my god it s here its featured amazing,"['oh', 'my', 'god', 'it', 's', 'here', 'its', 'featured', 'amazing']",oh god featured amazing,oh god featured amaz,0.2732,pos
"Mar 04, 2018",Their mother son dynamic is something I both love and hate,2029,4,Their mother son dynamic is something I both love and hate,their mother son dynamic is something i both love and hate,"['their', 'mother', 'son', 'dynamic', 'is', 'something', 'i', 'both', 'love', 'and', 'hate']",mother son dynamic something love hate,mother son dynamic something love h,0.7783,pos
"Mar 04, 2018",Eros is out here coordinating orgies and I can't even get a date,1698,4,Eros is out here coordinating orgies and I can t even get a date,eros is out here coordinating orgies and i can t even get a date,"['eros', 'is', 'out', 'here', 'coordinating', 'orgies', 'and', 'i', 'can', 't', 'even', 'get', 'a', 'date']",eros coordinating orgies even get date,eros coordinating orgies even get d,0.0,neu
"Mar 04, 2018",He puts his glasses on because persephone's beauty is making him go blind,1353,2,He puts his glasses on because persephone s beauty is making him go blind,he puts his glasses on because persephone s beauty is making him go blind,"['he', 'puts', 'his', 'glasses', 'on', 'because', 'persephone', 's', 'beauty', 'is', 'making', 'him', 'go', 'blind']",puts glasses persephone beauty making go blind,puts glasses persephone beauty making go blind,0.2732,pos
"Mar 04, 2018",Greek myth has several love stories gone wrong because someone said they looked better than Aphrodite. shes sensitive to that 😂😂😂. and I like how Zeus hasnt given the real reason or at least the reason agmccording to myth with demeter hates his guts,1114,2,Greek myth has several love stories gone wrong because someone said they looked better than Aphrodite shes sensitive to that  and I like how Zeus hasnt given the real reason or at least the reason agmccording to myth with demeter hates his guts,greek myth has several love stories gone wrong because someone said they looked better than aphrodite shes sensitive to that  and i like how zeus hasnt given the real reason or at least the reason agmccording to myth with demeter hates his guts,"['greek', 'myth', 'has', 'several', 'love', 'stories', 'gone', 'wrong', 'because', 'someone', 'said', 'they', 'looked', 'better', 'than', 'aphrodite', 'shes', 'sensitive', 'to', 'that', 'and', 'i', 'like', 'how', 'zeus', 'hasnt', 'given', 'the', 'real', 'reason', 'or', 'at', 'least', 'the', 'reason', 'agmccording', 'to', 'myth', 'with', 'demeter', 'hates', 'his', 'guts']",greek myth several love stories gone wrong someone said looked better aphrodite shes sensitive like zeus hasnt given real reason least reason agmccording myth demeter hates guts,greek myth several love stories gone wrong someone said looked better aphrodite shes sensitive like zeus hasnt given real reason least reason agmccording myth demeter hates gut,0.5574,pos
"Mar 04, 2018",Aphrodite’s reaction is 100% accurate to the myths. XD She’s probably plotting Persephone’s murder right now.,875,1,Aphrodite’s reaction is 100 accurate to the myths XD She’s probably plotting Persephone’s murder right now,aphrodite’s reaction is 100 accurate to the myths xd she’s probably plotting persephone’s murder right now,"['aphrodite', '’', 's', 'reaction', 'is', '100', 'accurate', 'to', 'the', 'myths', 'xd', 'she', '’', 's', 'probably', 'plotting', 'persephone', '’', 's', 'murder', 'right', 'now']",aphrodite ’ reaction 100 accurate myths xd ’ probably plotting persephone ’ murder right,aphrodite ’ reaction 100 accurate myths xd ’ probably plotting persephone ’ murder right,-0.2263,neg
"Mar 06, 2018",When Zeus says he’s “morally corrupt” he totally is. You have any idea how many woman he’s technically raped? A woman even turned herself into a bush to get away from him. Juuusst sayin.,773,1,When Zeus says he’s “morally corrupt” he totally is You have any idea how many woman he’s technically raped A woman even turned herself into a bush to get away from him Juuusst sayin,when zeus says he’s “morally corrupt” he totally is you have any idea how many woman he’s technically raped a woman even turned herself into a bush to get away from him juuusst sayin,"['when', 'zeus', 'says', 'he', '’', 's', '“', 'morally', 'corrupt', '”', 'he', 'totally', 'is', 'you', 'have', 'any', 'idea', 'how', 'many', 'woman', 'he', '’', 's', 'technically', 'raped', 'a', 'woman', 'even', 'turned', 'herself', 'into', 'a', 'bush', 'to', 'get', 'away', 'from', 'him', 'juuusst', 'sayin']",zeus says ’ “ morally corrupt ” totally idea many woman ’ technically raped woman even turned bush get away juuusst sayin,zeus says ’ “ morally corrupt ” totally idea many woman ’ technically raped woman even turned bush get away juuusst sayin,-0.6808,neg
"Mar 05, 2018","I just know Aphrodite's gonna be petty, I can feel it in my psyche.",561,3,I just know Aphrodite s gonna be petty I can feel it in my psyche,i just know aphrodite s gonna be petty i can feel it in my psyche,"['i', 'just', 'know', 'aphrodite', 's', 'gon', 'na', 'be', 'petty', 'i', 'can', 'feel', 'it', 'in', 'my', 'psyche']",know aphrodite gon na petty feel psyche,know aphrodite gon na petty feel psych,-0.2023,neg
"Mar 19, 2018","Zeus said ""it's complicated"" because Persephone is his freaking DAUGHTER",429,4,Zeus said it s complicated because Persephone is his freaking DAUGHTER,zeus said it s complicated because persephone is his freaking daughter,"['zeus', 'said', 'it', 's', 'complicated', 'because', 'persephone', 'is', 'his', 'freaking', 'daughter']",zeus said complicated persephone freaking daughter,zeus said complicated persephone freaking daught,-0.4215,neg
